_id,ciudad,contrato,descripcion,empresa,horario,origen,rating_empresa,requerimientos,salario,titulo,url_oferta
computrabajo_3dc4cb62a3286b14ac5feb79117dcc13,"Bogotá, D.C.",Contrato a término fijo,"¡¡ Esta oportunidad es para ti !!Estos son todos los requisitos y condiciones para la vacante……por favor leer bien……  EXCELENTE PRESENTACIÓN PERSONAL : •	No barba  •	No cabello largo (hombres) •	No expansiones   •	Uñas cortas y sin esmalteREQUISITOS:•	Experiencia certificable mínimo de 6 meses en adelante•	Experiencia en BAR Y BARISMO•	Experiencia en restaurantes reconocidos •	Contar con carnet de manipulación de alimentos•	Contar con carnet de vacunación COVIDHORARIOS: De domingo a domingo con un día compensatorio en la semana- Turnos rotativos - tienen almuerzo y desayuno media hora sin costo alguno El contrato que se maneja es fijo inferior a 1 año ( con todas sus prestaciones ) – firman contrato directamente con el restaurante mi gran parrilla boyacense Lugar de trabajo: Cra 30, Villa del río y nuestro Bogotá Salario 6 horas:$ 870.000 + AUX DE TRANSPORTE + PROPINA QUINCENAL (180 A 200) propinas desde el primer día... Salario 4 horas :$ 580.000 + aux de transporte+ propinas desde el primer día PAGOS: se realizan quincenalmente los días 5 – 20 PROPINA: se realizan quincenalmente 10- 25 ¡¡ Anímate  y haz parte de nuestro grupo de trabajo !!.",GRUPO ALIANZA,Tiempo Parcial,computrabajo,"3,95","Educación mínima: Bachillerato / Educación Media
Menos de 1 año de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 990.000,00 (Mensual)",Aux de bar - medio tiempo,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-aux-de-bar-medio-tiempo-en-bogota-dc-489B25A525BE2A0C61373E686DCF3405#lc=ListOffers-Score-0
computrabajo_a22824411aec6f7d6f139d777367526a,"Bogotá, D.C.",Contrato a término fijo,¡¡ Esta oportunidad es para ti !!  Excelente presentación personal •	No barba   •	No cabello largo (hombres)  •       No expansiones  •       Uñas Cortas    Funciones:  Transportar los domicilios adecuadamente en una maleta suministrada por el empleador.   Hacer entregar del servicio a los clientes.  Manejar de DATAFONO.  Tener Actitud de Servicio  Tener conocimiento en transportar alimentos HORARIO:  Disponibilidad de tiempo 6 horas rotativas   + media hora de almuerzoPor un Pago de $ 50.000 + almuerzo Pagos: se realiza el mismo día en la sede que se encuentre laborandoContrato: por fines de semana ( debes de contar con afiliación a eps o Sisbén )  la compañía ofrece afiliación arl y fondo de pensiones¡ Anímate y haz parte de nuestro grupo de trabajo!!,GRUPO ALIANZA,Tiempo Parcial,computrabajo,"3,95","Educación mínima: Educación Básica Secundaria
Menos de 1 año de experiencia
Licencias de conducir: A1
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 400.000,00 (Mensual)",Domiciliario con moto - Fines de semana,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-domiciliario-con-moto-fines-de-semana-en-bogota-dc-81100D100957DF8F61373E686DCF3405#lc=ListOffers-Score-1
computrabajo_62da9ddcfb386f94bc1db17699907b5e,"Bogotá, D.C.",Contrato a término fijo,"¡¡ Esta oferta es para ti !!Estos son todos los requisitos y condiciones para la vacante……por favor leer bien……  EXCELENTE PRESENTACIÓN PERSONAL: •	Cabello recogido •	No expansiones    •	Uñas cortas y sin esmalteREQUISITOS:-	1 año de experiencia certificable en el gremio gastronómico -	 Experiencia en restaurantes reconocidos -	Contar con el manejo de plata ( más de 7.000.000 )-	Contar con carnet de manipulación de alimentos-	Contar con carnet de vacunación COVIDHORARIOS: De domingo a domingo con un día compensatorio en la semana- Turnos rotativos - tienen almuerzo y desayuno media hora sin costo alguno El contrato que se maneja es fijo inferior a 1 año ( con todas sus prestaciones ) – firman contrato directamente con el restaurante mi gran parrilla boyacense Lugar de trabajo: Cra 30, Villa del río y nuestro Bogotá Salario 6 horas:$ 870.000 + AUX DE TRANSPORTE + PROPINA QUINCENAL (180 A 200) propinas desde el primer día... Salario 4 horas :$ 580.000 + aux de transporte+ propinas desde el primer día PAGOS: se realizan quincenalmente los días 5 – 20 PROPINA: se realizan quincenalmente 10- 25¡¡ Anímate y haz parte de nuestro grupo de trabajo !!",GRUPO ALIANZA,Tiempo Parcial,computrabajo,"3,95","Educación mínima: Bachillerato / Educación Media
1 año de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 990.000,00 (Mensual)",Cajeras - medio tiempo,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajeras-medio-tiempo-en-bogota-dc-44BB06B0C437EEB461373E686DCF3405#lc=ListOffers-Score-2
computrabajo_9512b03e6dbfd838100ed539d4b713cf,"Bogotá, D.C.",Contrato a término indefinido,"Bancamía busca talento profesional en Ingeniería o Licenciatura en Sistemas, Informática, Telemática o afín al área de TI.Experiencia mínima de 3 años en manejo de incidentes, atención a proveedores, dar soporte preferiblemente en el sector financiero, conocimiento en bases de datos, programas, servidores y plataformas tecnológicas emergentes. Con manejo de programas de SQL y ORACLE. Tener disponibilidad 7X24.Contrato a término indefinido. Salario a convenir.Plan de beneficios con el banco (Prima extralegal de vacaciones, Prima extralegal por antigüedad/quinquenio, seguro de Vida y seguro exequial cubierto 100% por el banco, crédito educativo pregrado/posgrado con la posibilidad de condonarse al 100%, auxilio educativo para hijos, crédito de vivienda con tasa preferencial de colaborador, días de descanso remunerados por cumpleaños, día de la familia, matrimonio, entre otros).",Bancamia S.A.,Tiempo Completo,computrabajo,"4,45","Educación mínima: Postgrado / Especialización
Conocimientos: Oracle, SQL Server
",,Especialista de Proyectos TI - Especialista de proyectos IT,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-de-proyectos-ti-en-bogota-dc-B1DD4A7FE7EE8A9661373E686DCF3405#lc=ListOffers-Score-3
computrabajo_76b3a01faf40649c6c4b575c91001348,"Bogotá, D.C.",Contrato a término indefinido,"Empresa dedicada a brindar Servicios relacionados a Telecomunicaciones busca para reforzar su equipo de trabajo Personal con experiencia en el área de Cobranzas mínimo 6 meses cartera castigada y prejuridica. Labor: cobro de cartera castigada y prejuridica Para esta campaña tenemos un horario de lunes a viernes de 07:00am a 8:00pm (horarios rotativos de 8 horas) y Sábado de 8:00 a 4:00.Tendrás un salario mínimo legal vigente + comisiones  (condiciones laborales superiores a las promedio del mercado) más todas las prestaciones de ley: Afiliación a salud, ARL, subsidio de transporte.Ubicación: zona industrial BENEFICIOS Plan carrera Descuentos con universidades para que inicies tu plan de estudios Zonas de entretenimiento en la sede donde encontrarás zonas de descanso, entretenimiento y deportes No desaproveches esta oportunidad, postúlate y en poco tiempo nuestro equipo de profesionales se comunicará contigo!",Aplicar,Tiempo Completo,computrabajo,,"Educación mínima: Bachillerato / Educación Media
Menos de 1 año de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 1.400.000,00 (Mensual)",Asesor de Cobranzas experiencia 6 meses call - cartera castigada y prejuridica,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-cobranzas-experiencia-6-meses-call-cartera-castigada-y-prejuridica-en-bogota-dc-C4B9C9F3AABCC0E461373E686DCF3405#lc=ListOffers-Score-4
computrabajo_a7ed5550d2bd841b0fbbd1081cda984d,"Bogotá, D.C.",Contrato a término indefinido,"SI HABLAS INGLÉS Y/O PORTUGÜES ESTA OPORTUNIDAD ES PARA TI. ¡Estamos en búsqueda del mejor Talento Trilingüe para trabajar con BET365 de manera PRESENCIAL! ¿Cuál será tu misión? Ayudar a los clientes global de Bet365 con una amplia variedad de consultas de cuentas, incluidos pagos, inicio de sesión, verificación y consultas de apuestas a través de chat en vivo, teléfono y correo electrónico. Desde el día 1 de capacitación vas a estar respaldado por el Contrato Indefinido para que puedas adquirir con tranquilidad el conocimiento sobre todos los aspectos de la posición, incluidos los deportes y las apuestas, brindándole las herramientas para brindar una excelente Experiencia al Cliente. Horario laboral: La operación funciona de 7:00 am a 10:00 pm, es decir que podrás tener 2 turnos rotativos: De 7:00 am a 3:30 pm o de 1:30 pm a 10:00 pm. Se trabajan 8 horas diarias, 5 días a la semana, incluidos los días festivos y DESCANSAS DOS DÍAS. Por cada día festivo que trabajes, se te sumará un día adicional a tus vacaciones y podrás llegar a tener hasta 38 días totalmente remunerados para que vayas a descubrir el mundo sin preocupaciones.  Además, ofrecemos un salario de $3,100,000 + bonificaciones + apoyo de transporte. Lugar de trabajo: Calle 93 # 19 - 55 Barrio Chico (Bogotá)¡Postúlate y no olvides anexar tu hoja de vida actualizada!",Adecco Colombia S.A.,Tiempo Completo,computrabajo,"4,32","Educación mínima: Bachillerato / Educación Media
Menos de 1 año de experiencia
Idiomas: Inglés ,Portugués
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 3.100.000,00 (Mensual)",Asesor Ingles Intermedio y Portugués Avanzado / 3.100.000 + 38 días de vacaciones - Descansa 2 días consecutivos / Bogotá,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-ingles-intermedio-y-portugues-avanzado-3100000-38-dias-de-vacaciones-descansa-2-dias-consecutivos-bogota-en-bogota-dc-59649804D7197A5B61373E686DCF3405#lc=ListOffers-Score-5
computrabajo_350d7a0f73a5f5b050c16d39e6318751,"Bogotá, D.C.",Contrato de Obra o labor,Se solicita recepcionista con experiencia mínima de 6 meses a 1 año certificable horario lunes a viernes de 7:00 AM a 5:00 PM sábados medio día. Con todas las prestaciones sociales,GRUPO GSS,Tiempo Completo,computrabajo,"3,87","Educación mínima: Bachillerato / Educación Media
Edad: entre 19 y 40 años
","$ 1.160.000,00 (Mensual)",Recepcionista con experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-recepcionista-con-experiencia-en-bogota-dc-3F288DA4D1701EB361373E686DCF3405#lc=ListOffers-Score-6
computrabajo_0040287a75936c560fc2f22850b2886e,"Bogotá, D.C.",Contrato a término fijo,"Somos Promoambiental Distrito, y en este momento nos encontramos en búsqueda de OPERARIOS DE BARRIDO. Si  cuentas con más de 6 meses de experiencia laboral en: servicios generales, todero, auxiliar de obra, auxiliar de bodega o similares ¡Es tu Oportunidad!Jornada Laboral: turnos de 8 horas. Salario: $1.160.000 + Subsidio de transporte + prestaciones de ley.Contrato: directo con la compañía a término fijo por 6 meses, renovable. HAZ PARTE DE LA FAMILIA PROMOAMBIENTA",PROMOAMBIENTAL DISTRITO S A S ESP,Tiempo Completo,computrabajo,,"Educación mínima: Educación Básica Secundaria
Menos de 1 año de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 1.160.000,00 (Mensual)",Operario de barrido - Turno fijo,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-barrido-turno-fijo-en-bogota-dc-D8D8EC994233BB6C61373E686DCF3405#lc=ListOffers-Score-7
computrabajo_74a866a2f1cf1d39c47e64737f11e391,"Bogotá, D.C.",Contrato de Obra o labor,"Empresa dedica a la fabricación e instalación de cristales y vidrio arquitectónico requiere para su equipo de trabajo Analista de presupuesto y almacén con 2 años en el área.  Con conocimientos en comercio exterior o aduanas.  Funciones a realizar: cotización, pedidos, facturación compras, seguimiento despachos y entregas, manejo caja menor, registro facturas de compra, manejo de proveedores, remisión de materiales despachados y recibidos.Salario $1.500.000 + prestaciones de ley. Horario L-V 8:00am - 5:30 pm y S de 8:00am a 1:00pmSi cumple con el perfil aplicar a la oferta.",Staffing de Colombia,Tiempo Completo,computrabajo,"4,28","Educación mínima: Universidad / Carrera tecnológica
1 año de experiencia
","$ 1.500.000,00 (Mensual)",Analista de presupuesto y almacén,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-presupuesto-y-almacen-en-bogota-dc-4BBD9E217BDB6EF361373E686DCF3405#lc=ListOffers-Score-8
computrabajo_3c0cc72381859824a9d809a0a99c4f57,"Bogotá, D.C.",Contrato a término indefinido,"Tienda reconocida del sector Retail se encuentra en búsqueda de Asistentes de tienda para todo Bogotá.Su objetivo será promover la satisfacción de los clientes ofreciéndoles una muy buena experiencia de compra, de manera que se cumplan las metas financieras dispuestas por la compañía, soportado en la correcta implementación de los procedimientos, enmarcados en Servicio al cliente, Cumplimiento de Indicadores, Productividad, Gestión de Inventario y Control y cumplimiento Merma.Competencias: Orientación al cliente, liderazgo, comunicación asertiva, adaptación al cambio, trabajo en equipo, manejo de conflictos, orientación a la eficiencia y compromiso.Requisitos:Formación: Bachiller AcademicoExperiencia: Mínima de 6 meses en ventas de productos y servicio al cliente. Contrato termino indefinido                                                                    Horario: Turnos de trabajo rotativos domingo a domingo 1 día compensatorio entre semana Salario:$1.160.000 + prestaciones de ley + recargos dominicalesSi estas interesado te invito a postularte ya!!",Adecco Colombia S.A.,Tiempo Completo,computrabajo,"4,32","Educación mínima: Universidad / Carrera técnica
1 año de experiencia
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No
","$ 1.160.000,00 (Mensual)",Asistente de tienda Retail / Bogotá - Contrato a termino indefinido,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-tienda-retail-bogota-contrato-a-termino-indefinido-en-bogota-dc-533C4E1083F90ED361373E686DCF3405#lc=ListOffers-Score-9
